bibtex_id	dataset(s) used	author last	title first	approx # google scholar citations	title	authors	conference?	year	booktitle	publisher	pages	doi	journal	volume	number	url	avg. # citations / year	types of features used (network stats? NLP?)	model used (deep learning? random forests? NLP?)	notes	accuracy	precision	recall	f1	AUC	MCC	Specificity / TPR	Sensitivity / TNR	FPR	FNR	Detection rate	Error rate	Kolmogorov-Smirnov distance	Kullback-Liebler distance
ng2023botbuster	midterm-2018	ng	botbuster	2	BotBuster: Multi-platform Bot Detection Using A Mixture of Experts	Lynnette Hui and Xian Ng and Kathleen M. Carley	1	2023	17th International AAAI Conference on Web and Social Media			10.48550/arXiv.2207.13658				https://arxiv.org/pdf/2207.13658.pdf								0.9413										
pham2022bot2vec:	cresci-2015	pham	bot2vec:	11	Bot2Vec: A general approach of intra-community oriented representation learning for bot detection in different types of social networks	Phu Pham and Loan T.T. Nguyen and Bay Vo and Unil Yun	0	2022				10.1016/j.is.2021.101771	Information Systems	103																				
feng2022heterogeneity-aware	twibot-2020	feng	heterogeneity-aware	8	Heterogeneity-aware Twitter Bot Detection with Relational Graph Transformers	Shangbin Feng and Zhaoxuan Tan and Rui L and, Minnan Luo	1	2022	AAAI Conference on Artificial Intelligence	Association for the Advancement of Artificial Intelligence	3977--3985	10.1609/aaai.v36i4.20314				https://doi.org/10.1609/aaai.v36i4.20314	16				0.8664			0.8821										
guo2022social	rtbust-2019; feedback-2019; gilani-2017; stock-2018; midterm-2018	guo	social	4	Social Bots Detection via Fusing BERT and Graph Convolutional Networks	Qinglang Guo and Haiyong Xie and Yangyang Li and Wen Ma and Chao Zhang 	0	2022				10.3390/sym14010030	Symmetry	14	1	https://mdpi-res.com/d_attachment/symmetry/symmetry-14-00030/article_deploy/symmetry-14-00030.pdf?version=1640602824	8				rtbust-2019: 0.78 feedback-2019: 0.8108 gilani-2017: 0.5259 stock-2018: 0.6698 midterm-2018: 0.9026			rtbust-2019: 0.7096 feedback-2019: 0.6977 gilani-2017: 0.6065 stock-2018: 0.6622 midterm-2018: 0.8089							name	string		
antenore2022a	midterm-2018	antenore	a	4	A comparative study of bot detection techniques with an application related to Covid-19 discourse on Twitter.	Marzia Antenore and Jose Manuel Camacho Rodriguez and Emanuele Panizzi	0	2022				10.1177/08944393211073733	Social Science Computer Review	0	0	https://doi.org/10.1177/08944393211073733					0.964													
gonzalez2022the	cresci-2015; cresci-2017	gonzalez	the	1	 The advantage of the right in social media news sharing 	Sandra González-Bailón and Valeria d’Andrea and Deen Freelon and Manlio De Domenico	1	2022				10.1093/pnasnexus/pgac137	PNAS Nexus	1	3	https://doi.org/10.1093/pnasnexus/pgac137					0.9			0.9										
thavasimani2022a	cresci-2017	thavasimani	a	0	A Custom Classifier to Detect Spambots on CRESCI-2017 Dataset	Karthikayini Thavasimani & N. K. Srinath 	1	2022	Emerging Research in Computing, Information, Communication and Applications	Springer	181--191	10.1007/978-981-16-1338-8				https://link.springer.com/chapter/10.1007/978-981-16-1338-8_16	0				0.9613	0.96	0.96			0.89								
alothali2022bot-mgat:	twibot-2020	alothali	bot-mgat:	0	Bot-MGAT: A Transfer Learning Model Based on a Multi-View Graph Attention Network to Detect Social Bots 	Alothali, Eiman and Salih, Motamen and Hayawi, Kadhim and Alashwal, Hany	0	2022				10.3390/app12168117	Applied Sciences	16																				
rovito2022an	twibot-2020	rovito	an	0	An Evolutionary Computation Approach for Twitter Bot Detection	Rovito, Luigi and Bonin, Lorenzo and Manzoni, Luca and De Lorenzo, Andrea	0	2022				10.3390/app12125915	Applied Sciences	12	12	https://www.mdpi.com/2076-3417/12/12/5915																		
heidari2021an	cresci-2017	heidari	an	53	An Empirical Study of Machine learning Algorithms for Social Media Bot Detection	Maryam Heidari and James H Jones and Ozlem Uzuner	1	2021	IEEE International IOT, Electronics and Mechatronics Conference (IEMTRONICS)		1--5	10.1109/IEMTRONICS52119.2021.9422605				https://doi.org/10.1109/IEMTRONICS52119.2021.9422605	35			extracts new sentiment features	0.923			0.93		0.889								
ilias2021deep	verified-2019; botwiki-2019; midterm-2018; stock-2018; rtbust-2019; political-bots-2019; feedback-2019; vendor-purchased-2019; celebrity-2019; pronbots-2019; gilani-2017; varol-2017; cresci-2017	martin	deep	11	A Deep Learning Approach for Robust Detection of Bots in Twitter Using Transformers	David Martín-Gutiérrez and Gustavo Hernández-Peñaloza and Alberto Belmonte Hernández and Alicia Lozano-Diez and Federico Álvarez	0	2021			54591-54601	10.1109/ACCESS.2021.3068659	IEEE Access	9																				
ilias2021detecting	cresci-2017; caverlee-2011	ilias	detecting	7	Detecting malicious activity in Twitter using deep learning techniques	Loukas Ilias and Ioanna Roussaki	0	2021					Applied Soft Computing	107		https://doi.org/10.1016/j.asoc.2021.107360	5			lots of derived features	cresci-2017: 0.99 caverlee-2011: 0.08261	cresci-2017: 0.98 caverlee-2011: 0.8365	cresci-2017: 0.9973 caverlee-2011: 0.8941	cresci-2017: 0.9886 caverlee-2011: 0.8643	cresci-2017: 0.9976 caverlee-2011: 0.8870									
feng2021botrgcn	twibot-2020	feng	botrgcn	6	BotRGCN: Twitter Bot Detection with Relational Graph Convolutional Networks	Shangbin Feng and Herun Wan and Ningnan Wang and Minnan Luo	1	2021	2021 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	Association for Computing Machinery	236--239	10.1145/3487351.3488336				https://arxiv.org/abs/2106.13092	4				0.8462			0.8707		0.7021								
geng2021satar	twibot-2020; cresci-2017; pan-2019	geng	satar	5	SATAR: A Self-supervised Approach to Twitter Account Representation Learning and its Application in Bot Detection	Shangbin Feng and Herun Wan and Ningnan Wang and Jundong Li and Minnan Luo	1	2021	30th ACM International Conference on Information & Knowledge Management (CIKM)	Association for Computing Machinery	3808--3817	10.1145/3459637.3481949				https://doi.org/10.1145/3459637.3481949	3				twibot-2020: 0.8412 cresci-2017: 0.9871 pan-2019: 0.9509			twibot-2020: 0.8642 cresci-2017: 0.9910 pan-2019: 0.9510		twibot-2020: 0.6863 cresci-2017: 0.9685 pan-2019: 0.9018								
dimitriadis2021social	cresci-2017; cresci-2015; pronbots-2019; gilani-2017; political-bots-2019; astroturf; botwiki-2019; vendor-purchased-2019; varol-2017; italian-elections; stock-2018; midterm-2018; caverlee-2011	dimitriadis	social	5	Social Botomics: A Systematic Ensemble ML Approach for Explainable and Multi-Class Bot Detection 	Ilias Dimitriadis and Konstantinos Georgiou and Athena Vakali	0	2021				10.3390/app11219857	Applied Sciences	11	21	https://doi.org/10.3390/app11219857	3				all: 0.861	0.895	0.85	all: 0.87							name	string		
wang2021detecting	pan-2019	wang	detecting	4	Detecting Social Media Bots with Variational AutoEncoder and k-Nearest Neighbor 	Xiujuan Wang and Qianqian Zheng and Kangfeng Zheng and Yi Sui and Siwei Cao and Yutong Shi 	0	2021				10.3390/app11125482	Applied Sciences	11	12																			
giorgi2021characterizing	botwiki-2019; midterm-2018; verified-2019	giorgi	characterizing	3	Characterizing Social Spambots by their Human Traits	Giorgi, Salvatore and Ungar, Lyle and Schwartz, H. Andrew	1	2021	The Joint Conference of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing		5148--5158	10.18653/v1/2021.findings-acl.457				https://aclanthology.org/2021.findings-acl.457.pdf					0.98889	0.985	0.971	0.978										
yang2020scalable	feedback-2019; botwiki-2019; caverlee-2011; cresci-2017; rtbust-2019; stock-2018; gilani-2017; midterm-2018; political-bots-2019; pronbots-2019; varol-2017; vendor-purchased-2019; verified-2019	yang	scalable	136	Scalable and Generalizable Social Bot Detection through Data Selection	Kai-Cheng Yang and Onur Varol and Pik-Mai Hui and Filippo Menczer 	1	2020	AAAI Conference on Artificial Intelligence	Association for the Advancement of Artificial Intelligence 	1096--1103	10.1609/aaai.v34i01.5460                                                 				https://doi.org/10.1609/aaai.v34i01.5460	54	basic user metadata: # tweets, # followers, # friends, # favorites, has default profile, has background image etc		botometer v3 (?)					botwiki-2019: 0.99 midterm-18: 0.98 gilani-2017: 0.68 rtbust: 0.60									
gilani2020classification	gilani-2017	gilani	classification	84	Classification of twitter accounts into automated agents and human users	Gilani, Zafar and Kochmar, Ekaterina and Crowcroft, Jon	1	2020	IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining (ASONAM)		489--496	10.1145/3110025.3110091				https://ieeexplore.ieee.org/abstract/document/9069085	34	age of account, favorites-to-tweets ratio, lists per user, followers-to-friends ratio, user favorites, likes/favorites per tweet, retweets per tweet, user replies, users tweets, user retweets, tweet frequency, URLs count, activity source type, source count, CDN content size			0.8644	0.854	0.822	0.836										
heidari2020using	cresci-2017	heidari	using	81	Using BERT to Extract Topic-Independent Sentiment Features for Social Media Bot Detection	Maryam Heidari and James H Jones	1	2020	11th IEEE Annual Ubiquitous Computing, Electronics & Mobile Communication Conference (UEMCON)		542--547	10.1109/UEMCON51285.2020.9298158				https://doi.org/10.1109/UEMCON51285.2020.9298158	32				0.979			0.976		0.962								
heidari2020deep	cresci-2017	heidari	deep	75	Deep Contextualized Word Embedding for Text-based Online User Profiling to Detect Social Bots on Twitter	Maryam Heidari and James H Jones and Ozlem Uzuner	1	2020	2020 International Conference on Data Mining Workshops (ICDMW)		480--487	10.1109/ICDMW51313.2020.00071				https://ieeexplore.ieee.org/document/9346546	75				0.971			0.969	0.972									
sayyadiharikandeh2020detection	astroturf; feedback-2019; botwiki-2019; caverlee-2011; cresci-2017; rtbust-2019; stock-2018; gilani-2017; kaiser; midterm-2018; political-bots-2019; pronbots-2019; varol-2017; vendor-purchased-2019; verified-2019	sayyadiharikandeh	detection	73	Detection of Novel Social Bots by Ensembles of Specialized Classifiers	Mohsen Sayyadiharikandeh and Onur Varol and Kai-Cheng Yang and Alessandro Flammini and Filippo Menczer 	1	2020	29th ACM International Conference on Information & Knowledge Management	Association for Computing Machinery	2725--2732	10.1145/3340531.3412698				https://dl.acm.org/doi/10.1145/3340531.3412698	29		ensemble of random forests, each trained on a single dataset; output of each classifier is combined into cumulative bot score	botometer v4	stock-2018: 0.80 	0.64	0.84	all: 0.77										
mendoza2020malicious	rtbust-2019	mendoza	detection	16	Bots in Social and Interaction Networks: Detection and Impact Estimation	Marcelo Mendoza and Maurizio Tesconi and Stefano Cresci	1	2020	ACM Transactions on Information Systems	Association for Computing Machinery		10.1145/3419369		39	1																			
muo2020malicious	caverlee-2011; cresci-2015; cresci-2017; gilani-2017; varol-2017; midterm-2018; botwiki-2019; celebrity-2019; policial-bots-2019; pronbots-2019; verified-2019; vendor-purchased-2019; rtbust-2019	muo	malicious	4	Malicious Bot Detection in Online Social Networks: Arming Handcrafted Features with Deep Learning	Guanyi Mou and Kyumin Lee	1	2020	Social informatics: 12th International Conference		220--236	10.1007/978-3-030-60975-7_17																						
