dataset name	benchmark?	analyzed?	include?	description	# humans reported	# bots reported	# humans we have	# bots we have	status	doi link	link	summary/notes	access to data?	bibtex_id	title first	author last	approx. citations	title	authors	conference?	booktitle	publisher	pages	doi	journal	volume	number	url		year		
alarifi-2016		FALSE	0						only user ids	https://drive.google.com/file/d/1eyTGJwK1aoeWbvw4pdLgIxeyIamTKTOw/view?usp=sharing	https://github.com/TwitterSybilDetector/TwitterSybilDetector	Uses volunteers with BSc degrees in CS in English and Arabic	yes	alarifi2016twitter	twitter	alarifi	-1	Twitter turing test: Identifying social machines	Abdulrahman Alarifi and Mansour Alsaleh and AbdulMalik Al-Salman	0			332--346	10.1016/j.ins.2016.08.036	Information Sciences	372		https://doi.org/10.1016/j.ins.2016.08.036		2016		
astroturf-2020		FALSE	0		0	505			only user ids; KC Yang said they couldn't share			"Hyper-active political bots participating in follow trains and/or systematically deleting high volumes of content"	yes	sayyadiharikandeh2020detection	detection	sayyadiharikandeh	-1	Detection of Novel Social Bots by Ensembles of Specialized Classifiers	Mohsen Sayyadiharikandeh and Onur Varol and Kai-Cheng Yang and Alessandro Flammini and Filippo Menczer 	1	29th ACM International Conference on Information & Knowledge Management	Association for Computing Machinery	2725--2732	10.1145/3340531.3412698				https://dl.acm.org/doi/10.1145/3340531.3412698		2020		
feedback-2019	1	TRUE	1	Accounts misclassified by public, manually annotated by author.	380	139	380	139				"Botometer feedback accounts manually labeled by K.C. Yang. Labels and user objects."	yes	yang2019arming	arming	yang	338	Arming the public with artificial intelligence to counter social bots.	Yang, Kai‐Cheng and Onur Varol and Clayton A. Davis and Emilio Ferrara and Alessandro Flammini and and Filippo Menczer	0			48--68	10.1002/hbe2.115	Human Behavior and Emerging Technologies	1				2019		
botwiki-2019		TRUE	1	Active, self-identified Twitter bot accounts from botwiki.org	0	698	0	698				"Self-identified bots from https://botwiki.org. Labels and user objects."	yes	yang2020scalable	scalable	yang	183	Scalable and Generalizable Social Bot Detection through Data Selection	Kai-Cheng Yang and Onur Varol and Pik-Mai Hui and Filippo Menczer 	1	AAAI Conference on Artificial Intelligence	Association for the Advancement of Artificial Intelligence 	1096--1103					https://doi.org/10.1609/aaai.v34i01.5460		2020		
caverlee-2011	1	TRUE	1	Bots collected in 7 months deployment of 60 honeypot twitter accounts.	14833	15483	19276	22223			https://infolab.tamu.edu/data/	"This social honeypot dataset collected from December 30, 2009 to August 2, 2010 on Twitter. The dataset contains 22,223 content polluters, their number of followings over time, 2,353,473 tweets, and 19,276 legitimate users, their number of followings over time and 3,259,693 tweets."	yes	lee2011a	a	lee	543	A Long-Term Study of Content Polluters on Twitter	Kyumin Lee and Brian Eoff and James Caverlee	1	Fifth International AAAI Conference on Weblogs and Social Media 	Association for the Advancement of Artificial Intelligence 	185--192					https://ojs.aaai.org/index.php/ICWSM/article/view/14106	502	2011		
celebrity-2019		TRUE	1	Authentic celebrity accounts collected by doctoral students.	5918	0	5918	0					yes	yang2019arming	arming	yang	338	Arming the public with artificial intelligence to counter social bots.	Yang, Kai‐Cheng and Onur Varol and Clayton A. Davis and Emilio Ferrara and Alessandro Flammini and and Filippo Menczer	0			48--68	10.1002/hbe2.115	Human Behavior and Emerging Technologies	1				2019		
chu-2012		FALSE	0						probably can't access unless find Steven Gianvecchio email			500k accounts; collected via DFS on 5 random seeds; manually classify 2000 users per class of human, bot and cyborg	no	chu2012detecting	detecting	chu	-1	Detecting automation of twitter accounts: Are you a human, bot, or cyborg	Z. Chu, S. Gianvecchio, H. Wang, and S. Jajodia											2012		
cresci-2015	1	TRUE		the-fake-project-2015; elezioni-2015; fake-followers-2015	1950	3351	1957	3351					FALSE	cresci2015fame	fame	cresci	382	Fame for sale: Efficient detection of fake Twitter followers	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0			56--71	10.1016/j.dss.2015.09.003	Decision Support Systems	80		https://doi.org/10.1016/j.dss.2015.09.003	346	2015		
cresci-2017	1	TRUE		fake-followers-2015; genuine-accounts-cresci; social-spambots-1; social-spambots-2; social-spambots-3; traditional-spambots-yang; traditional-spambots-2; traditional-spambots-3; traditional-spambots-4			3474	10894					FALSE	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
yang-2013	1	TRUE		traditional-spambots-yang; genuine-accounts-yang			10000	1000					FALSE	yang2013empirical	empirical	yang	369	Empirical evaluation and new design for fighting evolving twitter spammers.	Chao Yang and Robert Harkreader and Guofei Gu	0			1280--1293	10.1109/TIFS.2013.2267732	IEEE Transactions on Information Forensics and Security	8	8	https://doi.org/10.1109/TIFS.2013.2267732	348	2013		
pan-2019	1	TRUE	0	\data{caverlee-2011}, \data{varol-2017}, \data{cresci-2017}, \data{cresci-2015} plus manually annotated bots and humans.			2060	2060	only has tweets, not profile characteristics	https://zenodo.org/record/3692340#.Yo6p40jMLmE		random sample from twitter stream, manually annotated	yes	rangel2015overview	overview	rangel	136	Overview of the 7th Author Profiling Task at PAN 2019: Bots and Gender Profiling in Twitter	Francisco Rangel and Paolo Rosso	1	CLEF Evaluation Labs and Workshop Working Notes Papers									2015		
the-fake-project-2015	cresci-2015;  pan-2019	TRUE	1	Accounts following @TheFakeProject who completed unique CAPTCHA.	574	0	469	0				"A dataset of (i) genuine, (ii) traditional, and (iii) social spambot Twitter accounts, annotated by CrowdFlower contributors. Released in CSV format."	yes	cresci2015fame	fame	cresci	382	Fame for sale: Efficient detection of fake Twitter followers	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0			56--71	10.1016/j.dss.2015.09.003	Decision Support Systems	80		https://doi.org/10.1016/j.dss.2015.09.003	346	2015		
elezioni-2015	cresci-2015; pan-2019	TRUE	1	Accounts tweeting \#elezioni2013, excluding political actors and media; manually verified.	1488	0	1488	0				"A dataset of (i) genuine, (ii) traditional, and (iii) social spambot Twitter accounts, annotated by CrowdFlower contributors. Released in CSV format."	yes	cresci2015fame	fame	cresci	382	Fame for sale: Efficient detection of fake Twitter followers	Stefano Cresci and Roberto Di Pietro and Marinella Petrocchi and Angelo Spognardi and Maurizio Tesconi	0			56--71	10.1016/j.dss.2015.09.003	Decision Support Systems	80		https://doi.org/10.1016/j.dss.2015.09.003	346	2015		
fake-followers-2015	cresci-2017; cresci-2015;  pan-2019	TRUE	1	Accounts purchased to inflate another account's number of followers.	0	1950	0	3351				fastfollowerz.com, intertwitter.com, twittertechnology.com fake accounts	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
genuine-accounts-cresci	cresci-2017;  pan-2019	TRUE	1	Random\footnote{We describe in \Cref{sec:background} our reason for believing this sample is a convenience sample from previous work.} sample of verified, human-operated accounts through hybrid crowdsensing.	3474	0	3474	0				"random sample of genuine (human-operated) accounts"	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
social-spambots-1	cresci-2017;  pan-2019	TRUE	1	Accounts retweeting an Italian political candidate during 2014 campaign.	0	991	0	991				Rome Mayoral election 2014	yes	cresci2017the	the	cresci	368	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, Stefano and Di Pietro, Roberto and Petrocchi, Marinella and Spognardi, Angelo and Tesconi, Maurizio	1	26th International Conference on World Wide Web	International World Wide Web Conferences Steering Committee	963--972	10.1145/3041021.3055135				https://doi.org/10.1145/3041021.3055135	319	2017		
