bibtex name	author last	title first	title	authors	doi link	approx # google scholar citations	year published	avg. # citations / year	dataset(s) used	types of features used (network stats? NLP?)	model used (deep learning? random forests? NLP?)	notes	checked for performance metrics?	accuracy	precision	recall	f1	AUC	MCC	Specificity / TPR	Sensitivity / TNR	FPR	FNR	Detection rate	Error rate	Kolmogorov-Smirnov distance	Kullback-Liebler distance
varol2017online	varol	online	Online Human-Bot Interactions: Detection, Estimation, and Characterization 	Onur Varol Emilio Ferrara Clayton A. Davis Filippo Menczer Alessandro Flammini 	https://aaai.org/ocs/index.php/ICWSM/ICWSM17/paper/view/15587	954	2017	173	caverlee-2011 varol-2017	user-based features, friends features, network features, temporal features, content/language features, sentiment features	The best classification perfor- mance of 0.95 AUC was obtained by the Random Forest al- gorithm. In the rest of the paper we use the Random Forest model trained using 100 estimators and the Gini coefficient to measure the quality of splits.	botometer v2 (?)	TRUE	0.86				0.94									
davis2016botornot:	davis	botornot:	BotOrNot: A System to Evaluate Social Bots 	Clayton A. Davis Onur Varol Emilio Ferrara Alessandro Flammini Filippo Menczer 	https://doi.org/10.1145/2872518.2889302	757	2016	116	caverlee-2011	user-based features, friends features, network features, temporal features, content/language features, sentiment features	BotOrNot’s classifier uses Random Forest, an ensemble super- vised learning method. Extracted features are leveraged to train seven different classifiers: one for each subclass of features and one for the overall score. Ten-fold cross-validation yields a perfor- mance of 0.95 AUC (Area Under ROC Curve). 	botometer v1 (?)	TRUE					0.95									
heidari2020deep	heidari	deep	Deep Contextualized Word Embedding for Text-based Online User Profiling to Detect Social Bots on Twitter	Maryam Heidari; James H Jones; Ozlem Uzuner	https://ieeexplore.ieee.org/document/9346546	75	2020	75	cresci-2017				TRUE	0.971			0.969	0.972									
cresci2017the	cresci	the	The paradigm-shift of social spambots: Evidence, theories, and tools for the arms race.	Cresci, S., Di Pietro, R., Petrocchi, M., Spognardi, A., & Tesconi, M. (	http://dx.doi.org/10.1145/3041021.3055135	319	2017	58	cresci-2017	range of features in csv, including profile characteristics and tweets	re-runs analysis on existing techniques		TRUE	n/a	n/a	n/a	n/a	n/a	n/a								
yang2020scalable	yang	scalable	Scalable and Generalizable Social Bot Detection through Data Selection	Kai-Cheng Yang Onur Varol Pik-Mai Hui Filippo Menczer 	https://doi.org/10.1609/aaai.v34i01.5460	136	2020	54	botometer-feedback botwiki-2019 caverlee-2011 cresci-2017 cresci-rtbust-2019 cresci-stock-2018 gilani-2017 midterm-2018 political-bots-2019 pronbots-2019 varol-2017 vendor-purchased verified-2019 / celebrity	basic user metadata: # tweets, # followers, # friends, # favorites, has default profile, has background image etc		botometer v3 (?)	TRUE					botwiki-2019: 0.99 midterm-18: 0.98 gilani-2017: 0.68 cresci-rtbust: 0.60									
lee2011a	lee	a	A Long-Term Study of Content Polluters on Twitter	Kyumin Lee, Brian Eoff, James Caverlee	https://ojs.aaai.org/index.php/ICWSM/article/view/14106	502	2011	44	caverlee-2011				TRUE	0.9862			0.986	0.999									
miller2014twitter	miller	twitter	Twitter spammer detection using data stream clustering.	Zachary Miller, Brian Dickinson, William Deitrick, Wei Hu, and Alex Hai Wang.	https://drive.google.com/file/d/1l5wYAxTDgK1sIA4xSpDkjL2zepbyuG6N/view?usp=sharing	328	2014	39	wang-2009				TRUE	0.9892	0.7939	1	0.8851			0.9783		0.0217					
sayyadiharikandeh2020detection	sayyadiharikandeh	detection	Detection of Novel Social Bots by Ensembles of Specialized Classifiers	Mohsen Sayyadiharikandeh Onur Varol Kai-Cheng Yang Alessandro Flammini Filippo Menczer 	https://dl.acm.org/doi/10.1145/3340531.3412698	73	2020	29	Astroturf botometer-feedback botwiki-2019 caverlee-2011 cresci-2017 cresci-rtbust-2019 cresci-stock-2018 gilani-2017 Kaiser midterm-2018 political-bots-2019 pronbots-2019 varol-2017 / varol-icwsm vendor-purchased verified-2019 / celebrity		ensemble of random forests, each trained on a single dataset; output of each classifier is combined into cumulative bot score	botometer v4	TRUE		0.64	0.84	0.77										
himelein-wachowiak2021bots	himelein-wachowiak	bots	Bots and Misinformation Spread on Social Media: Implications for COVID-19	Himelein-Wachowiak, M., Giorgi, S., Devoto, A., Rahman, M., Ungar, L., Schwartz, H. A., ... & Curtis, B. 	https://www.jmir.org/2021/5/e26933/	37	2021	25	caverlee-2011 gilani-2018 cresci-2017 cresci-rtbust-2019 varol-2017				TRUE														
cresci2016dna-inspired	cresci	dna-inspired	DNA-Inspired Online Behavioral Modeling and Its Application to Spambot Detection	Stefano Cresci, Roberto Di Pietro, Marinella Petrocchi, Angelo Spognardi, Maurizio Tesconi	https://doi.org/10.1109/MIS.2016.29	134	2016	21	cresci-2017				TRUE	0.977	1	0.972	0.977		0.952	1							
